experiment_id,station_id,session_id,station_name,power_rows,matched_power_rows,unmatched_power_rows,matched_percent,state_age_mean_seconds,state_age_min_seconds,state_age_p01_seconds,state_age_p10_seconds,state_age_p25_seconds,state_age_p50_seconds,state_age_p75_seconds,state_age_p90_seconds,state_age_p95_seconds,state_age_p99_seconds,state_age_max_seconds
Exp20190124,60,Exp20190124-S60-002,CameraInspection,1157,1157,0,100.0,54.80933707865169,0.0,0.013,1.0358,14.011,44.972,90.056,125.016,138.9882,150.01484,155.042
Exp20190124,60,,CameraInspection,2397,0,2397,0.0,,,,,,,,,,,
Exp20190124,70,Exp20190124-S70-001,MagazineBack,1546,1546,0,100.0,66.27023285899094,0.001,0.023250000000000007,1.0514999999999999,10.649,47.548500000000004,100.41875,173.53750000000002,211.26725,242.09584999999996,249.535
Exp20190124,70,Exp20190124-S70-002,MagazineBack,1128,1128,0,100.0,52.147875,0.007,0.03235,1.0712,9.12675,43.0805,87.0745,122.0609,134.86674999999994,147.26499,151.605
Exp20190124,70,,MagazineBack,2369,0,2369,0.0,,,,,,,,,,,
Exp20190124,80,Exp20190124-S80-001,Press,1782,1782,0,100.0,69.41163916947251,0.002,0.015,1.3898000000000001,11.63675,49.019999999999996,105.06649999999999,186.4534,221.38099999999983,250.47171,256.462
Exp20190124,80,Exp20190124-S80-002,Press,1312,1312,0,100.0,51.13683003048781,0.001,0.025,1.0163,9.54625,43.4925,83.4975,119.5064,133.4854,144.51345,148.568
Exp20190124,80,,Press,2468,0,2468,0.0,,,,,,,,,,,
Exp20190320,10,Exp20190320-S10-001,Manual,1676,1676,0,100.0,91.85160381861576,0.158,0.2515,2.3415,21.33475,69.791,156.44075,215.5485,234.305,260.28825,267.445
Exp20190320,10,Exp20190320-S10-002,Manual,42,42,0,100.0,3.0661904761904757,0.274,0.27482,0.348,0.7705,2.2634999999999996,4.3157499999999995,7.2847,8.33085,9.30162,9.309
Exp20190320,10,Exp20190320-S10-003,Manual,1176,1176,0,100.0,54.94404421768707,0.189,0.30425,1.7285,14.79425,45.3875,89.36,128.872,142.36875,157.325,162.339
Exp20190320,10,,Manual,10396,0,10396,0.0,,,,,,,,,,,
Exp20190320,20,Exp20190320-S20-001,MagazineFront,1138,1138,0,100.0,57.22497451669596,0.001,0.012740000000000003,0.9413999999999999,2.92725,14.454,103.529,188.83530000000007,217.52075,240.1412599999999,245.507
Exp20190320,20,Exp20190320-S20-002,MagazineFront,98,98,0,100.0,8.91154081632653,0.05,0.08298,0.4854,1.38275,3.9915000000000003,16.21875,23.775799999999997,26.4315,28.44548,28.461
Exp20190320,20,Exp20190320-S20-003,MagazineFront,892,892,0,100.0,56.14505829596413,0.005,0.03691,1.0468000000000002,11.09375,48.033,95.0825,128.95579999999998,140.0676,151.10816,155.071
Exp20190320,20,,MagazineFront,10978,0,10978,0.0,,,,,,,,,,,
Exp20190320,30,Exp20190320-S30-001,DrillingCPS,845,845,0,100.0,104.61884142011836,0.02,0.08875999999999999,1.633,30.639,101.659,172.611,214.593,228.6392,240.16583999999995,242.657
Exp20190320,30,Exp20190320-S30-002,DrillingCPS,61,61,0,100.0,1.5274426229508198,0.012,0.0222,0.102,0.588,1.083,2.08,4.07,5.068,6.1044,6.111
Exp20190320,30,Exp20190320-S30-003,DrillingCPS,827,827,0,100.0,49.9834776299879,0.118,0.14656,1.137,5.221500000000001,39.167,84.2555,125.61659999999998,139.86949999999993,150.91148,153.235
Exp20190320,30,,DrillingCPS,17947,0,17947,0.0,,,,,,,,,,,
Exp20190320,60,Exp20190320-S60-001,CameraInspection,590,590,0,100.0,109.45029322033898,0.269,0.31912,1.8618000000000001,38.29575,105.822,176.36124999999998,219.44940000000003,232.85444999999996,244.45604,247.331
Exp20190320,60,Exp20190320-S60-002,CameraInspection,29,29,0,100.0,1.0634137931034482,0.304,0.30848,0.3428,0.369,0.927,1.419,2.3684,2.3784,2.40128,2.408
Exp20190320,60,Exp20190320-S60-003,CameraInspection,610,610,0,100.0,54.14831639344262,0.004,0.016,1.003,12.94525,46.0345,88.05799999999999,126.97229999999999,139.9994,149.9832,153.016
Exp20190320,60,,CameraInspection,12083,0,12083,0.0,,,,,,,,,,,
Exp20190320,70,Exp20190320-S70-001,MagazineBack,571,571,0,100.0,104.51550963222417,0.08,0.1178,1.622,30.142,101.203,172.70850000000002,214.179,228.673,240.47869999999995,243.175
Exp20190320,70,Exp20190320-S70-002,MagazineBack,42,42,0,100.0,1.3030238095238096,0.131,0.13305,0.1493,0.325,1.1760000000000002,2.194,2.5709999999999993,3.1597499999999976,3.20336,3.205
Exp20190320,70,Exp20190320-S70-003,MagazineBack,573,573,0,100.0,48.55225654450262,0.127,0.19532,1.1546,3.737,38.861,79.839,120.63920000000007,134.7972,146.09171999999998,148.817
Exp20190320,70,,MagazineBack,11958,0,11958,0.0,,,,,,,,,,,
Exp20190320,80,Exp20190320-S80-001,Press,660,660,0,100.0,102.39840606060606,0.008,0.03498,1.5657,29.810000000000002,98.6075,169.00775,212.0224,226.98525,238.04622999999998,240.055
Exp20190320,80,Exp20190320-S80-002,Press,49,49,0,100.0,1.5617959183673467,0.013,0.01396,0.0408,0.52,1.036,1.994,4.141000000000003,5.551199999999994,5.96608,5.968
Exp20190320,80,Exp20190320-S80-003,Press,682,682,0,100.0,48.45414076246335,0.011,0.08843,1.0536,5.10875,39.3565,79.16175000000001,120.1485,134.06749999999994,144.2059,146.142
Exp20190320,80,,Press,12266,0,12266,0.0,,,,,,,,,,,
Exp20190416,10,Exp20190416-S10-001,Manual,1002,1002,0,100.0,29.843217564870262,0.169,0.245,0.8254,6.78925,26.275,50.276,65.32379999999999,71.27879999999999,80.33748999999999,83.374
Exp20190416,10,Exp20190416-S10-002,Manual,8493,8493,0,100.0,10.988442011067939,0.006,0.19492,0.28,0.783,2.795,18.28,33.7302,41.73199999999999,56.2984,72.951
Exp20190416,10,Exp20190416-S10-003,Manual,30414,30414,0,100.0,90.08012504109949,0.001,0.29813,1.3223000000000003,15.888,67.316,152.84699999999998,210.31140000000002,229.36909999999997,298.78102999999993,818.755
